9989;W78.9; Local NE;Inalação do conteúdo gástrico - local não especificado
9990;W79.0; Residencia;Inalação e ingestão de alimentos causando obstrução do trato respiratório - residência
9991;W79.1; Habitacao coletiva;Inalação e ingestão de alimentos causando obstrução do trato respiratório - habitação coletiva
9992;W79.2; Escolas outr instit areas admin publica;Inalação e ingestão de alimentos causando obstrução do trato respiratório - escolas, outras instituições e áreas de administração pública
9993;W79.3; Area p/a pratica de esportes e atletismo;Inalação e ingestão de alimentos causando obstrução do trato respiratório - área para a prática de esportes e atletismo
9994;W79.4; Rua e estrada;Inalação e ingestão de alimentos causando obstrução do trato respiratório - rua e estrada
9995;W79.5; Areas de comercio e de servicos;Inalação e ingestão de alimentos causando obstrução do trato respiratório - áreas de comércio e de serviços
9996;W79.6; Areas industriais e em construcao;Inalação e ingestão de alimentos causando obstrução do trato respiratório - áreas industriais e em construção
9997;W79.7; Fazenda;Inalação e ingestão de alimentos causando obstrução do trato respiratório - fazenda
9998;W79.8; Outr locais espec;Inalação e ingestão de alimentos causando obstrução do trato respiratório - outros locais especificados
9999;W79.9; Local NE;Inalação e ingestão de alimentos causando obstrução do trato respiratório - local não especificado
10000;W80.0; Residencia;Inalação e ingestão de outros objetos causando obstrução do trato respiratório - residência
10001;W80.1; Habitacao coletiva;Inalação e ingestão de outros objetos causando obstrução do trato respiratório - habitação coletiva
10002;W80.2; Escolas outr instit areas admin publica;Inalação e ingestão de outros objetos causando obstrução do trato respiratório - escolas, outras instituições e áreas de administração pública
10003;W80.3; Area p/a pratica de esportes e atletismo;Inalação e ingestão de outros objetos causando obstrução do trato respiratório - área para a prática de esportes e atletismo
10004;W80.4; Rua e estrada;Inalação e ingestão de outros objetos causando obstrução do trato respiratório - rua e estrada
10005;W80.5; Areas de comercio e de servicos;Inalação e ingestão de outros objetos causando obstrução do trato respiratório - áreas de comércio e de serviços
10006;W80.6; Areas industriais e em construcao;Inalação e ingestão de outros objetos causando obstrução do trato respiratório - áreas industriais e em construção
10007;W80.7; Fazenda;Inalação e ingestão de outros objetos causando obstrução do trato respiratório - fazenda
10008;W80.8; Outr locais espec;Inalação e ingestão de outros objetos causando obstrução do trato respiratório - outros locais especificados
10009;W80.9; Local NE;Inalação e ingestão de outros objetos causando obstrução do trato respiratório - local não especificado
10010;W81.0; Residencia;Confinado ou aprisionado em um ambiente pobre em oxigênio - residência
10011;W81.1; Habitacao coletiva;Confinado ou aprisionado em um ambiente pobre em oxigênio - habitação coletiva
10012;W81.2; Escolas outr instit areas admin publica;Confinado ou aprisionado em um ambiente pobre em oxigênio - escolas, outras instituições e áreas de administração pública
10013;W81.3; Area p/a pratica de esportes e atletismo;Confinado ou aprisionado em um ambiente pobre em oxigênio - área para a prática de esportes e atletismo
10014;W81.4; Rua e estrada;Confinado ou aprisionado em um ambiente pobre em oxigênio - rua e estrada
10015;W81.5; Areas de comercio e de servicos;Confinado ou aprisionado em um ambiente pobre em oxigênio - áreas de comércio e de serviços
10016;W81.6; Areas industriais e em construcao;Confinado ou aprisionado em um ambiente pobre em oxigênio - áreas industriais e em construção
10017;W81.7; Fazenda;Confinado ou aprisionado em um ambiente pobre em oxigênio - fazenda
10018;W81.8; Outr locais espec;Confinado ou aprisionado em um ambiente pobre em oxigênio - outros locais especificados
10019;W81.9; Local NE;Confinado ou aprisionado em um ambiente pobre em oxigênio - local não especificado
10020;W83.0; Residencia;Outros riscos especificados à respiração - residência
10021;W83.1; Habitacao coletiva;Outros riscos especificados à respiração - habitação coletiva
10022;W83.2; Escolas outr instit areas admin publica;Outros riscos especificados à respiração - escolas, outras instituições e áreas de administração pública
10023;W83.3; Area p/a pratica de esportes e atletismo;Outros riscos especificados à respiração - área para a prática de esportes e atletismo
10024;W83.4; Rua e estrada;Outros riscos especificados à respiração - rua e estrada
10025;W83.5; Areas de comercio e de servicos;Outros riscos especificados à respiração - áreas de comércio e de serviços
10026;W83.6; Areas industriais e em construcao;Outros riscos especificados à respiração - áreas industriais e em construção
10027;W83.7; Fazenda;Outros riscos especificados à respiração - fazenda
10028;W83.8; Outr locais espec;Outros riscos especificados à respiração - outros locais especificados
10029;W83.9; Local NE;Outros riscos especificados à respiração - local não especificado
10030;W84.0; Residencia;Riscos não especificados à respiração - residência
10031;W84.1; Habitacao coletiva;Riscos não especificados à respiração - habitação coletiva
10032;W84.2; Escolas outr instit areas admin publica;Riscos não especificados à respiração - escolas, outras instituições e áreas de administração pública
10033;W84.3; Area p/a pratica de esportes e atletismo;Riscos não especificados à respiração - área para a prática de esportes e atletismo
10034;W84.4; Rua e estrada;Riscos não especificados à respiração - rua e estrada
10035;W84.5; Areas de comercio e de servicos;Riscos não especificados à respiração - áreas de comércio e de serviços
10036;W84.6; Areas industriais e em construcao;Riscos não especificados à respiração - áreas industriais e em construção
10037;W84.7; Fazenda;Riscos não especificados à respiração - fazenda
10038;W84.8; Outr locais espec;Riscos não especificados à respiração - outros locais especificados
10039;W84.9; Local NE;Riscos não especificados à respiração - local não especificado
10040;W85.0; Residencia;Exposição a linhas de transmissão de corrente elétrica - residência
10041;W85.1; Habitacao coletiva;Exposição a linhas de transmissão de corrente elétrica - habitação coletiva
10042;W85.2; Escolas outr instit areas admin publica;Exposição a linhas de transmissão de corrente elétrica - escolas, outras instituições e áreas de administração pública
10043;W85.3; Area p/a pratica de esportes e atletismo;Exposição a linhas de transmissão de corrente elétrica - área para a prática de esportes e atletismo
10044;W85.4; Rua e estrada;Exposição a linhas de transmissão de corrente elétrica - rua e estrada
10045;W85.5; Areas de comercio e de servicos;Exposição a linhas de transmissão de corrente elétrica - áreas de comércio e de serviços
10046;W85.6; Areas industriais e em construcao;Exposição a linhas de transmissão de corrente elétrica - áreas industriais e em construção
10047;W85.7; Fazenda;Exposição a linhas de transmissão de corrente elétrica - fazenda
10048;W85.8; Outr locais espec;Exposição a linhas de transmissão de corrente elétrica - outros locais especificados
10049;W85.9; Local NE;Exposição a linhas de transmissão de corrente elétrica - local não especificado
10050;W86.0; Residencia;Exposição a outra corrente elétrica especificada - residência
10051;W86.1; Habitacao coletiva;Exposição a outra corrente elétrica especificada - habitação coletiva
